timestamp,open,high,low,close,volume
2025-07-16T23:00:00,3362.32,3374.64,3345.07,3370.55,189870.099
2025-07-17T00:00:00,3370.54,3398.56,3366.35,3375.50,249690.735
2025-07-17T01:00:00,3375.50,3395.28,3311.00,3337.84,453307.457
2025-07-17T02:00:00,3337.84,3362.10,3332.30,3348.59,209915.799
2025-07-17T03:00:00,3348.59,3349.74,3313.01,3330.04,217572.082
2025-07-17T04:00:00,3330.03,3351.43,3320.03,3350.07,154022.978
2025-07-17T05:00:00,3350.07,3378.02,3337.09,3373.24,216410.939
2025-07-17T06:00:00,3373.25,3446.50,3362.65,3441.11,694545.768
2025-07-17T07:00:00,3441.12,3472.20,3408.00,3448.37,543623.092
2025-07-17T08:00:00,3448.37,3450.92,3425.57,3448.50,295363.161
2025-07-17T09:00:00,3448.51,3479.97,3439.66,3465.65,398618.209
2025-07-17T10:00:00,3465.65,3482.62,3448.73,3458.71,355924.702
2025-07-17T11:00:00,3458.72,3461.52,3431.00,3434.69,284046.389
2025-07-17T12:00:00,3434.68,3441.21,3413.33,3426.58,358544.480
2025-07-17T13:00:00,3426.58,3433.09,3362.00,3401.16,656687.171
2025-07-17T14:00:00,3401.17,3435.24,3401.08,3426.72,340978.174
2025-07-17T15:00:00,3426.72,3433.40,3387.12,3420.07,351955.555
2025-07-17T16:00:00,3420.06,3427.73,3365.01,3394.59,547941.435
2025-07-17T17:00:00,3394.59,3429.00,3388.49,3423.80,236852.781
2025-07-17T18:00:00,3423.80,3442.60,3417.36,3426.41,213670.658
2025-07-17T19:00:00,3426.40,3454.00,3402.20,3410.77,315992.982
2025-07-17T20:00:00,3410.77,3419.72,3370.66,3419.52,401442.567
2025-07-17T21:00:00,3419.52,3501.87,3415.81,3467.44,659445.556
2025-07-17T22:00:00,3467.44,3494.00,3450.72,3465.75,248305.461
2025-07-17T23:00:00,3465.75,3524.00,3460.53,3476.65,426658.168
2025-07-18T00:00:00,3476.66,3540.00,3458.00,3537.37,380069.288
2025-07-18T01:00:00,3537.37,3628.66,3524.49,3615.56,901165.200
2025-07-18T02:00:00,3615.56,3628.99,3588.99,3602.40,463463.461
2025-07-18T03:00:00,3602.40,3607.75,3584.45,3596.83,211915.740
2025-07-18T04:00:00,3596.82,3621.33,3576.00,3619.27,320750.242
2025-07-18T05:00:00,3619.27,3674.43,3615.32,3670.04,632670.772
2025-07-18T06:00:00,3670.04,3670.31,3640.00,3650.20,309116.311
2025-07-18T07:00:00,3650.21,3669.86,3605.15,3607.10,502703.128
2025-07-18T08:00:00,3607.11,3631.00,3584.00,3606.35,375340.155
2025-07-18T09:00:00,3606.35,3626.37,3594.03,3622.75,249225.094
2025-07-18T10:00:00,3622.75,3625.35,3602.43,3619.50,151039.042
2025-07-18T11:00:00,3619.50,3626.73,3590.00,3612.00,224049.274
2025-07-18T12:00:00,3612.01,3640.93,3592.07,3639.21,247093.321
2025-07-18T13:00:00,3639.20,3659.99,3610.50,3640.34,505247.269
2025-07-18T14:00:00,3640.35,3673.72,3555.47,3586.00,1152829.908
2025-07-18T15:00:00,3586.00,3589.88,3530.55,3564.70,653389.206
2025-07-18T16:00:00,3564.70,3589.71,3548.79,3573.49,330047.602
2025-07-18T17:00:00,3573.50,3624.71,3566.72,3599.91,321354.593
2025-07-18T18:00:00,3599.92,3607.05,3564.49,3572.00,222438.184
2025-07-18T19:00:00,3572.00,3582.66,3536.23,3551.21,364740.996
2025-07-18T20:00:00,3551.21,3555.00,3476.10,3516.36,710662.050
2025-07-18T21:00:00,3516.35,3572.00,3514.08,3553.73,260506.718
2025-07-18T22:00:00,3553.73,3578.00,3531.10,3538.18,252200.855
2025-07-18T23:00:00,3538.18,3550.87,3504.90,3546.36,198191.452
2025-07-19T00:00:00,3546.36,3564.84,3521.03,3521.63,163873.854
2025-07-19T01:00:00,3521.63,3551.84,3505.00,3544.88,159062.815
2025-07-19T02:00:00,3544.88,3576.30,3533.42,3568.92,156871.088
2025-07-19T03:00:00,3568.91,3598.00,3565.66,3591.74,228951.068
2025-07-19T04:00:00,3591.74,3608.00,3579.00,3589.22,178632.543
2025-07-19T05:00:00,3589.21,3594.96,3573.90,3584.82,110895.940
2025-07-19T06:00:00,3584.81,3586.00,3566.00,3570.20,102375.640
2025-07-19T07:00:00,3570.20,3586.22,3566.35,3570.54,93974.802
2025-07-19T08:00:00,3570.54,3577.77,3545.78,3553.51,189920.549
2025-07-19T09:00:00,3553.50,3568.76,3547.98,3557.36,82988.050
2025-07-19T10:00:00,3557.36,3568.00,3550.00,3556.75,79113.962
2025-07-19T11:00:00,3556.76,3577.16,3536.78,3551.90,223858.614
